timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646237874345,513,https://blazedemo.com/home-0,302,Found,Thread Group 1-10,text,true,,1338,501,60,60,https://blazedemo.com/home,513,0,0
1646237874859,610,https://blazedemo.com/home-1,200,OK,Thread Group 1-10,text,true,,5570,1037,60,60,https://blazedemo.com/login,600,0,0
1646237875468,1189,https://blazedemo.com/home-2,200,OK,Thread Group 1-10,text,true,,121994,1573,60,60,https://blazedemo.com/css/app.css,396,0,0
1646237875468,997,https://blazedemo.com/home-3,200,OK,Thread Group 1-10,text,true,,294579,1037,60,60,https://blazedemo.com/js/app.js,358,0,0
1646237874584,2149,https://blazedemo.com/home,200,OK,Thread Group 1-22,text,true,,423477,4144,60,60,https://blazedemo.com/login,443,0,0
1646237874584,443,https://blazedemo.com/home-0,302,Found,Thread Group 1-22,text,true,,1334,501,60,60,https://blazedemo.com/home,443,0,0
1646237875027,432,https://blazedemo.com/home-1,200,OK,Thread Group 1-22,text,true,,5570,1033,60,60,https://blazedemo.com/login,421,0,0
1646237875459,1273,https://blazedemo.com/home-2,200,OK,Thread Group 1-22,text,true,,121994,1573,60,60,https://blazedemo.com/css/app.css,290,0,0
1646237875459,1267,https://blazedemo.com/home-3,200,OK,Thread Group 1-22,text,true,,294579,1037,60,60,https://blazedemo.com/js/app.js,298,0,0
1646237874544,2210,https://blazedemo.com/home,200,OK,Thread Group 1-8,text,true,,423481,4150,60,60,https://blazedemo.com/login,601,0,0
1646237874544,601,https://blazedemo.com/home-0,302,Found,Thread Group 1-8,text,true,,1336,501,60,60,https://blazedemo.com/home,601,0,0
1646237875145,667,https://blazedemo.com/home-1,200,OK,Thread Group 1-8,text,true,,5572,1035,60,60,https://blazedemo.com/login,659,0,0
1646237875812,941,https://blazedemo.com/home-2,200,OK,Thread Group 1-8,text,true,,121994,1575,60,60,https://blazedemo.com/css/app.css,292,0,0
1646237875812,941,https://blazedemo.com/home-3,200,OK,Thread Group 1-8,text,true,,294579,1039,60,60,https://blazedemo.com/js/app.js,301,0,0
1646237875718,1097,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-52,text,true,,6730,3875,60,60,https://blazedemo.com/reserve.php,693,0,0
